"MY","ACW","GS","G_1"
1.9439535,8.1648,0.133030996242305,1
1.7555427,8.2584,0.118918774006888,1
1.7289476,8.2944,0.0732577241206309,1
1.7466539,8.7552,0.166962766447105,1
1.9129888,8.46,-0.0103587917657569,2
1.7588617,7.9704,0.0249582015920896,1
1.7176171,8.9352,0.255798440352082,1
1.7790175,8.7408,0.000160656350199133,1
1.7129798,9.468,-0.00600643974496052,1
1.6901255,9.2448,0.198469845340587,1
1.7634162,9.216,0.177104027215391,1
1.7853656,9.3672,0.284206755417399,1
1.8353796,9.2376,0.240332544306293,1
1.7762394,9.4104,0.243154261294985,1
1.8164167,9.4824,0.216578853949904,2
1.9594093,9.3168,0.289480074122548,1
1.8625552,9.6984,0.330773618120002,1
2.0854564,8.0352,0.268719567549415,1
1.9534885,8.0568,0.0932661928213201,1
1.8702145,8.136,0.0654515106323061,1
1.9098875,7.8624,0.0682061549881473,1
1.6576833,7.488,-0.0480585039715515,1
1.7188968,7.2072,-0.163774756062776,1
1.6443741,8.9568,-0.0509234202175867,1
1.7329152,9.432,-0.00536838564323261,1
1.6583394,10.0584,-0.270168780093081,2
1.7148373,9.3168,-0.0405325961989001,1
1.7262986,9.0936,-0.00810673865489662,1
1.7068212,10.4184,-0.166907610995695,1
1.7358017,11.3832,-0.187823493815959,1
1.9363682,9.2664,-0.0397868147084955,1
1.8030649,10.1088,0.0822754539106973,1
1.7723065,10.764,0.11416126687036,2
1.6983372,10.6344,-0.0256846670235973,2
1.7004461,10.0584,-0.0189348577940837,1
1.7329242,10.6416,0.105757393017411,1
1.7496188,11.0736,-0.0834327284805477,1
1.8794111,9.2808,0.0524726634263061,1
1.8768964,9.108,-0.064395731119439,1
1.9046566,8.928,-0.0664825573349663,1
1.8257352,9.2376,-0.0757218419550918,1
1.7837234,9.2664,-0.110039219516329,1
1.8694839,9.9,-0.0272800054063555,2
1.950504,8.5752,0.0732120961518376,1
1.9339388,9.0288,-0.00784172236984887,1
1.9558866,8.64,0.114280575274024,1
1.8917121,10.2888,0.00904811690095812,1
1.8730223,9.5976,0.108375566193135,1
1.7900191,10.548,0.154662601709133,1
1.8348173,9.1512,-0.00178494844585657,1
1.794917,9.7776,0.128183314124472,1
1.7492337,10.3968,0.078208343195729,2
1.6621247,10.3824,-0.396471557486802,1
1.7914813,9.3744,-0.0961765892474796,1
1.719179,10.0728,-0.36186631816905,1
1.7374734,9.8352,-0.270963326296769,1
